Company,Date,Title,Positive,Negative,Neutral
A2M,21/08/2023,"""China’s Low Births, Weaker Growth Cut Infant Formula Demand, Says A2""",0.02905045635998249,0.9505032896995544,0.020446280017495155
A2M,14/08/2023,"""Here's What's Concerning About a2 Milk's (NZSE:ATM) Returns On Capital""",0.03624403849244118,0.06560219824314117,0.8981537818908691
A2M,07/06/2023,"""Institutions profited after The a2 Milk Company Limited's (NZSE:ATM) market cap rose NZ$209m last week but retail investors profited the most""",0.9433561563491821,0.03308040648698807,0.0235634446144104
A2M,20/05/2023,"""Are Investors Undervaluing The a2 Milk Company Limited (NZSE:ATM) By 49%?""",0.6142879724502563,0.24174270033836365,0.14396928250789642
A2M,14/04/2023,"""Are The a2 Milk Company Limited's (NZSE:ATM) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness?""",0.5488635301589966,0.21995769441127777,0.231178879737854
A2M,21/03/2023,"""a2 Milk (NZSE:ATM) sheds NZ$435m, company earnings and investor returns have been trending downwards for past three years""",0.007446387782692909,0.9705509543418884,0.022002598270773888
A2M,28/12/2022,"""The a2 Milk Company Limited's (NZSE:ATM) market cap touched NZ$5.2b last week, benefiting both individual investors who own 51% as well as institutions""",0.9476580023765564,0.015942050144076347,0.03639993816614151
A2M,07/12/2022,"""Trade Alert: The Independent Non-Executive Director Of The a2 Milk Company Limited (NZSE:ATM), Philippa Greenwood, Has Just Spent NZ$198k Buying A Few More Shares""",0.047173768281936646,0.03290991485118866,0.9199162721633911
A2M,06/12/2022,"""The a2 Milk Company Limited's (NZSE:ATM) Intrinsic Value Is Potentially 48% Above Its Share Price""",0.14465107023715973,0.017025206238031387,0.8383237719535828
A2M,05/11/2022,"""Has The a2 Milk Company Limited (NZSE:ATM) Stock's Recent Performance Got Anything to Do With Its Financial Health?""",0.01625129207968712,0.8292028307914734,0.1545458287000656
A2M,02/11/2022,"""UPDATE 1-NZ's a2 Milk gets temporary approval to export infant milk formula to U.S.""",0.9323298335075378,0.015344358049333096,0.0523257777094841
A2M,12/10/2022,"""Investors in a2 Milk (NZSE:ATM) have unfortunately lost 54% over the last three years""",0.01189443189650774,0.9717257618904114,0.01637987419962883
AAA,No data for this company,"""No data for this company""",0.018754366785287857,0.08326968550682068,0.8979759216308594
ABC,25/05/2023,"""Adbri Limited's (ASX:ABC) Stock Is Rallying But Financials Look Ambiguous: Will The Momentum Continue?""",0.8813730478286743,0.03936942666769028,0.0792575255036354
ABC,11/05/2023,"""Adbri (ASX:ABC) May Have Issues Allocating Its Capital""",0.018613101914525032,0.6033648252487183,0.37802210450172424
ABC,25/04/2023,"""At AU$1.64, Is Adbri Limited (ASX:ABC) Worth Looking At Closely?""",0.05914118513464928,0.01514525804668665,0.9257135391235352
ABC,03/04/2023,"""The past five years for Adbri (ASX:ABC) investors has not been profitable""",0.07610149681568146,0.01239766925573349,0.911500871181488
ABC,16/11/2022,"""Is It Too Late To Consider Buying Adbri Limited (ASX:ABC)?""",0.028802918270230293,0.08054043352603912,0.8906566500663757
ABC,24/10/2022,"""Adbri (ASX:ABC) stock falls 20% in past week as five-year earnings and shareholder returns continue downward trend""",0.008353926241397858,0.9753229022026062,0.016323158517479897
ABP,No data for this company,"""No data for this company""",0.018754366785287857,0.08326968550682068,0.8979759216308594
AFI,06/08/2023,"""We Wouldn't Be Too Quick To Buy Australian Foundation Investment Company Limited (ASX:AFI) Before It Goes Ex-Dividend""",0.04024910181760788,0.01698634959757328,0.9427645802497864
AFI,28/07/2023,"""Australian Foundation Investment (ASX:AFI) Will Pay A Dividend Of A$0.14""",0.04006560146808624,0.015317142941057682,0.9446172118186951
AFI,03/07/2023,"""Is Now The Time To Put Australian Foundation Investment (ASX:AFI) On Your Watchlist?""",0.03468168154358864,0.033807724714279175,0.9315106272697449
AFI,22/04/2023,"""Those who invested in Australian Foundation Investment (ASX:AFI) three years ago are up 39%""",0.9101414680480957,0.01337338425219059,0.07648515701293945
AFI,24/01/2023,"""Do Australian Foundation Investment's (ASX:AFI) Earnings Warrant Your Attention?""",0.08169981837272644,0.013745646923780441,0.904554545879364
AFI,13/11/2022,"""Those who invested in Australian Foundation Investment (ASX:AFI) five years ago are up 46%""",0.911798357963562,0.012927438132464886,0.07527419179677963
AGL,13/09/2022,"""Billionaire Climate Activist May Target More Major Polluters With Green Campaigns""",0.22498206794261932,0.013526606373488903,0.7614912986755371
AIA,20/08/2023,"""Does The Market Have A Low Tolerance For Auckland International Airport Limited's (NZSE:AIA) Mixed Fundamentals?""",0.07778437435626984,0.3803488612174988,0.5418667793273926
AIA,27/07/2023,"""Capital Allocation Trends At Auckland International Airport (NZSE:AIA) Aren't Ideal""",0.032668888568878174,0.11297483742237091,0.8543562889099121
AIA,06/07/2023,"""Investing in Auckland International Airport (NZSE:AIA) three years ago would have delivered you a 34% gain""",0.8985434174537659,0.010716050863265991,0.09074055403470993
AIA,13/06/2023,"""NZ's Auckland Airport revises dividend policy, shares fall""",0.019383437931537628,0.9111242294311523,0.06949235498905182
AIA,13/06/2023,"""Auckland International Airport Limited's (NZSE:AIA) market cap dropped NZ$427m last week; individual investors who hold 54% were hit as were institutions""",0.007991397753357887,0.9743618965148926,0.017646603286266327
AIA,13/03/2023,"""Auckland International Airport Limited's (NZSE:AIA) Has Performed Well But Fundamentals Look Varied: Is There A Clear Direction For The Stock?""",0.1664619892835617,0.28819435834884644,0.5453436374664307
AIA,24/02/2023,"""Auckland International Airport First Half 2023 Earnings: EPS: NZ$0.003 (vs NZ$0.074 in 1H 2022)""",0.11137429624795914,0.3460434377193451,0.5425822734832764
AIA,15/02/2023,"""UPDATE 4-Cyclone Gabrielle moves away from New Zealand, recovery efforts begin""",0.5386306047439575,0.2776695191860199,0.18369990587234497
AIA,13/02/2023,"""Auckland International Airport (NZSE:AIA) May Have Issues Allocating Its Capital""",0.01137201115489006,0.8962177634239197,0.09241025894880295
AIA,30/01/2023,"""UPDATE 3-New Zealand counts cost of Auckland floods, more rain forecast""",0.040684040635824203,0.17094160616397858,0.7883743047714233
AIA,27/01/2023,"""Auckland International Airport (NZSE:AIA) shareholders have earned a 6.5% CAGR over the last five years""",0.6749592423439026,0.014176500029861927,0.31086423993110657
AIA,03/01/2023,"""Painful week for individual investors invested in Auckland International Airport Limited (NZSE:AIA) after 3.9% drop, institutions also suffered losses""",0.01636977307498455,0.9744547009468079,0.00917560700327158
AIA,07/12/2022,"""10 Best ASX Stocks to Buy Heading into 2023""",0.1353825181722641,0.027872994542121887,0.836744487285614
AIA,04/11/2022,"""Should You Think About Buying Auckland International Airport Limited (NZSE:AIA) Now?""",0.04670696705579758,0.0176085252314806,0.9356845021247864
AIA,19/10/2022,"""Auckland Airport lifts profit forecast for fiscal 2023 on demand recovery""",0.8788020014762878,0.09361589699983597,0.02758209779858589
AIA,02/10/2022,"""Are Auckland International Airport Limited's (NZSE:AIA) Mixed Financials The Reason For Its Gloomy Performance on The Stock Market?""",0.010680774226784706,0.9415302276611328,0.04778899997472763
AIA,18/09/2022,"""Are Investors Undervaluing Auckland International Airport Limited (NZSE:AIA) By 24%?""",0.9046164751052856,0.05896035209298134,0.036423150449991226
AIA,03/09/2022,"""Auckland International Airport (NZSE:AIA) Could Be Struggling To Allocate Capital""",0.011083795689046383,0.961132287979126,0.02778387814760208
ALD,22/08/2023,"""Some Investors May Be Worried About Ampol's (ASX:ALD) Returns On Capital""",0.02530841715633869,0.9147388339042664,0.05995265766978264
ALD,20/02/2023,"""Ampol Full Year 2022 Earnings: Revenues Beat Expectations, EPS Lags""",0.8174262642860413,0.1615648865699768,0.021008944138884544
ALD,05/01/2023,"""Ampol (ASX:ALD) Might Become A Compounding Machine""",0.03579534962773323,0.026849253103137016,0.9373553991317749
ALL,31/08/2023,"""Aristocrat Gaming Begins First Distribution of NFL-Themed Slot Machines to Casino Floors""",0.15598608553409576,0.010151999071240425,0.8338619470596313
ALL,28/08/2023,"""Aristocrat Gaming™ Partners with Skill Master Pro for Exclusive Distribution in the Georgia COAM Market""",0.6295303702354431,0.0073473178781569,0.3631223738193512
ALL,22/08/2023,"""Sun Wukong ""Monkey King"" Becomes a Legendary Champion in RAID: Shadow Legends""",0.15165185928344727,0.022992730140686035,0.8253554105758667
ALL,16/08/2023,"""Investing in Aristocrat Leisure (ASX:ALL) three years ago would have delivered you a 50% gain""",0.5703436732292175,0.009628363884985447,0.4200279414653778
ALL,16/08/2023,"""Aristocrat Gaming Supports AISES Mission to Increase Indigenous Peoples' Representation in STEM""",0.6210518479347229,0.009082498960196972,0.3698657155036926
ALL,14/08/2023,"""Aristocrat Gaming to Debut New Games for Class II and Class III at OIGA 2023""",0.1325743943452835,0.009041858837008476,0.8583837151527405
ALL,13/08/2023,"""Aristocrat Gaming Unveils New Range of Gaming Legends at AGE23""",0.1241406574845314,0.013349315151572227,0.8625100255012512
ALL,09/08/2023,"""NeoGames Announces Second Quarter 2023 Results""",0.027238808572292328,0.03218911215662956,0.9405720829963684
ALL,02/08/2023,"""Is It Too Late To Consider Buying Aristocrat Leisure Limited (ASX:ALL)?""",0.028481807559728622,0.0996374785900116,0.8718807697296143
ALL,27/07/2023,"""Aristocrat Gaming Unveils First Look at NFL-Themed Slot Machines""",0.12352936714887619,0.011493310332298279,0.8649773001670837
